,participant,block_num,trial_num,condition,rt,low_opt_feed,mid_opt_feed,high_opt_feed,selected_option,selected_fvalue,difficulty,magnitude,choice,rt_quantile
2366,12,4,174,ABC,1.612,27,34,39,A,27,hard,low,1,5
2367,12,4,175,BDF,3.268,37,35,49,B,37,easy,high,1,6
2368,12,4,176,DEF,1.768,44,50,53,F,53,hard,high,3,5
2369,12,4,177,ACE,0.611,26,38,48,E,48,easy,low,3,2
2370,12,4,178,ABC,1.619,39,41,36,C,36,hard,low,3,5
2371,12,4,179,DEF,1.234,44,51,46,E,51,hard,high,2,4
2372,12,4,180,ABC,1.418,30,30,39,B,30,hard,low,2,4
2373,12,4,181,BDF,1.11,31,46,52,B,31,easy,high,1,3
2374,12,4,182,ABC,1.101,23,29,28,B,29,hard,low,2,3
2375,12,4,183,ACE,1.726,34,43,50,E,50,easy,low,3,5
2376,12,4,184,ABC,3.594,30,42,35,B,42,hard,low,2,6
2377,12,4,185,DEF,0.666,43,46,55,E,46,hard,high,2,2
2378,12,4,186,ACE,1.162,23,30,43,E,43,easy,low,3,4
2379,12,4,187,DEF,1.347,42,47,55,E,47,hard,high,2,4
2380,12,4,188,ACE,1.402,33,47,50,E,50,easy,low,3,5
2381,12,4,189,BDF,4.336,36,43,54,F,54,easy,high,3,6
2382,12,4,190,ABC,1.968,35,32,34,B,32,hard,low,2,5
2383,12,4,191,ACE,1.485,27,37,54,E,54,easy,low,3,5
2384,12,4,192,BDF,1.927,42,47,57,F,57,easy,high,3,5
2385,12,4,193,ACE,1.511,31,40,46,E,46,easy,low,3,5
2386,12,4,194,BDF,2.188,27,43,58,F,58,easy,high,3,6
2387,12,4,195,ABC,1.861,23,33,50,A,23,hard,low,1,5
2388,12,4,196,ACE,2.127,34,32,41,E,41,easy,low,3,6
2389,12,4,197,ABC,0.967,36,33,45,A,36,hard,low,1,3
2390,12,4,198,ACE,0.677,28,41,43,E,43,easy,low,3,2
2391,12,4,199,BDF,1.413,24,45,49,F,49,easy,high,3,4
2392,12,4,200,ACE,1.122,38,38,36,E,36,easy,low,3,4
2393,13,4,1,ACE,1.486,30,37,41,E,41,easy,low,3,5
2394,13,4,2,BDF,0.855,33,33,46,B,33,easy,high,1,3
2395,13,4,3,ACE,0.614,42,43,47,C,43,easy,low,2,2
2396,13,4,4,DEF,0.512,46,48,56,D,46,hard,high,1,2
2397,13,4,5,ACE,0.259,33,39,48,A,33,easy,low,1,1
2398,13,4,6,ABC,0.278,30,37,37,A,30,hard,low,1,1
2399,13,4,7,BDF,0.266,22,37,47,D,37,easy,high,2,1
2400,13,4,8,DEF,0.496,37,48,43,F,43,hard,high,3,1
2401,13,4,9,ABC,0.231,30,28,47,C,47,hard,low,3,1
2402,13,4,10,ACE,0.273,39,37,47,E,47,easy,low,3,1
2403,13,4,11,BDF,0.343,24,39,45,B,24,easy,high,1,1
2404,13,4,12,ABC,0.318,24,27,35,C,35,hard,low,3,1
2405,13,4,13,DEF,0.249,36,47,54,F,54,hard,high,3,1
