id,trial,block,rt,resp,correct,f_cor,f_inc,cor_option,inc_option,pair_type
2,35,2,1.196430186672842,1,1,39,37,1,0,0
2,36,2,1.054414872356574,3,1,52,48,3,2,3
2,37,2,0.965491417654448,2,1,49,31,2,0,1
2,38,2,1.5599593402275789,3,1,59,41,3,1,2
2,39,2,0.8980013837699516,3,1,53,34,3,1,2
2,40,2,1.4335320924456028,3,1,50,51,3,2,3
2,41,2,1.2112420584253414,2,1,52,46,2,0,1
2,42,2,0.99934463765112,2,1,47,39,2,0,1
2,43,2,0.9442778162920148,3,1,64,45,3,2,3
2,44,2,1.6051493048553311,1,1,33,36,1,0,0
2,45,2,1.3407785226836495,1,1,41,40,1,0,0
2,46,2,1.073998942545586,3,1,57,36,3,1,2
2,47,2,0.8990782942964871,2,1,58,34,2,0,1
2,48,2,0.9638246810145574,3,1,50,46,3,1,2
2,49,2,1.0816871621000246,2,0,57,52,3,2,3
2,50,2,1.1817623581027874,1,1,42,29,1,0,0
2,51,2,1.6346511919236946,2,1,48,36,2,0,1
2,52,2,0.9367322745820276,3,1,48,53,3,2,3
2,53,2,1.1750609367518337,2,1,46,36,2,0,1
2,54,2,0.9445310865330612,2,1,47,40,2,0,1
2,55,2,0.9961309727996196,3,1,53,56,3,2,3
2,56,2,1.3039741241100271,1,1,35,33,1,0,0
2,57,2,0.965721477145962,3,1,56,40,3,1,2
2,58,2,1.106274514220786,1,1,45,39,1,0,0
2,59,2,1.0773675732853008,3,1,54,46,3,2,3
2,60,2,0.8714592086435005,3,1,54,37,3,1,2
2,61,2,0.9080710945263492,3,1,55,43,3,1,2
2,62,2,1.217633547998048,1,1,34,33,1,0,0
2,63,2,1.0813096460806264,2,1,60,36,2,0,1
2,64,2,1.2146489186343388,0,0,44,38,1,0,0
2,65,2,0.9722283377996064,1,1,40,26,1,0,0
2,66,2,1.00669254665263,1,1,30,44,1,0,0
2,67,2,1.0434692971266486,3,1,47,50,3,2,3
2,68,2,0.9768363543144004,3,1,51,47,3,2,3
2,69,2,0.9571956225890972,3,1,62,40,3,1,2
2,70,2,0.8548792238871101,3,1,58,53,3,2,3
2,71,2,0.8595241045341027,3,1,54,44,3,2,3
2,72,2,1.2829397233890631,2,1,50,30,2,0,1
2,73,2,0.964725462908973,2,1,52,35,2,0,1
2,74,2,1.2167286700887416,3,1,59,56,3,2,3
2,75,2,1.227743194897812,1,1,37,41,1,0,0
2,76,2,0.9874979391925078,3,1,46,47,3,1,2
2,77,2,1.39107963096194,1,1,36,34,1,0,0
2,78,2,1.0392824874552389,1,1,39,42,1,0,0
2,79,2,1.7639115165256951,2,1,49,31,2,0,1
2,80,2,1.3360227083048812,1,1,42,43,1,0,0
3,1,0,2.456583973536908,0,0,50,41,2,0,1
